"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,15,"AUS","Australia",1,"Ashmore and Cartier Islands","AU.AS",NA,"","Territory","Territory","",""
2,15,"AUS","Australia",2,"Australian Capital Territory","AU.CT",NA,"","Territory","Territory","",""
3,15,"AUS","Australia",3,"Coral Sea Islands","AU.CR",NA,"","Territory","Territory","",""
4,15,"AUS","Australia",4,"Jervis Bay Territory","AU.JB",NA,"","Territory","Territory","",""
5,15,"AUS","Australia",5,"New South Wales","AU.NS",NA,"","State","State","",""
6,15,"AUS","Australia",6,"Northern Territory","AU.NT",NA,"","Territory","Territory","",""
7,15,"AUS","Australia",7,"Queensland","AU.QL",NA,"","State","State","",""
8,15,"AUS","Australia",8,"South Australia","AU.SA",NA,"","State","State","",""
9,15,"AUS","Australia",9,"Tasmania","AU.TS",NA,"","State","State","",""
10,15,"AUS","Australia",10,"Victoria","AU.VI",NA,"","State","State","",""
11,15,"AUS","Australia",11,"Western Australia","AU.WA",NA,"","State","State","",""
